clinic,city,phone,website,email,status
"Tannlege Kjetil Børre Ødegaard","Ålesund","90 69 80 93","","","ingen nettside"
"Tannlege Lars Lothe AS","Ålesund","41 47 44 15","","","ingen nettside"
"Marianne Nødtvedt | Tannlege i Ålesund","Ålesund","99 74 88 95","","","ingen nettside"
"Tannlege Marianne Nødtvedt","Ålesund","70 15 26 40","","","ingen nettside"
"Tannlege Frode Frisvold","Ålesund","70 12 26 22","","","ingen nettside"
"Tannlege Forbord","Ålesund","","","","ingen nettside"
"A C Heggholt","Ålesund","70 12 22 94","","","ingen nettside"
"Are Kristofer Hjeltnes","Ålesund","70 14 13 12","","","ingen nettside"
"Hallvard Nødtvedt","Ålesund","91 19 99 78","","","ingen nettside"
"Hjellen 9 Tannklinikk","Skien","35 52 30 39","http://www.hjellen9.no/","post@hjellen9.no","ok"
"Jostein Strandman","Ålesund","70 14 18 55","","","ingen nettside"
"Torbjørn Breivik","Ålesund","70 12 12 21","","","ingen nettside"
"Intercare As","Ålesund","","","","ingen nettside"
"Jan Matre","Ålesund","70 15 26 40","","","ingen nettside"
"Kari Sønderland","Ålesund","46 69 53 43","","","ingen nettside"
"Jan Inge Leira","Ålesund","91 51 99 41","","","ingen nettside"
"Tannlegene Granmo","Ålesund","70 12 56 22","http://www.tannlegenegranmo.no/","post@tannlegenegranmo.no","ok"
"Badeparken tannklinikk","Sandefjord","33 46 27 73","","","ingen nettside"
"Skien Tannlegesenter & Skien Tannlegevakt","Skien","90 83 17 88","http://www.skientannlegesenter.com/","post@skientannlegevakt.no","ok"
"Sjøholt Tannklinikk","Ålesund","70 27 36 70","https://sjotann.no/","post@sjotann.no","ok"
"Tannlege Marianne Erikssen","Skien","35 52 56 89","http://tannlege-erikssen.no/","tannlege.erikssen@gmail.com","ok"
"Tannlege Mehdi Darouei","Sandefjord","33 46 27 73","https://www.tannlegemehdidarouei.no/tannlege","","ingen e-post funnet"
"Jens Petter Le Van Su","Sandefjord","45 48 43 25","","","ingen nettside"
"Tannlege Lilly Dahlström AS","Sandefjord","90 63 93 69","https://www.tannlegelillydahlstrom.no/","kontakt@eksempel.no","ok"
"Tannklinikken Skeie","Sandefjord","33 46 61 71","http://www.tannklinikken.no/?utm_source=gmb&utm_medium=organic&utm_campaign=&utm_term=klinikkside","resepsjon@tannklinikken.no","ok"
"Tannlege Godberg","Sarpsborg","69 15 27 43","http://tannlegegodberg.no/","","ingen e-post funnet"
"Tannlege MNTF, spesialist i periodonti Bernt Johan Evensen","Sandefjord","33 46 52 18","","","ingen nettside"
"Kjeveortoped Ella Aasrum","Sandefjord","33 46 34 40","","","ingen nettside"
"KariAnne Balstad Tannlege","Sandefjord","33 46 33 61","","","ingen nettside"
"Tannblekingsklinikken AS","Sandefjord","99 10 13 33","","","ingen nettside"
"Lise Serigstad","Sandefjord","48 99 01 60","","","ingen nettside"
"Astrid Tannpleierpraksis Høgsand","Sandefjord","33 46 84 48","","","ingen nettside"
"Henry Normann Nilsen","Sandefjord","93 05 30 12","","","ingen nettside"
"Reidar Chr Øyen tannlege","Sandefjord","33 46 35 65","http://www.tannlegeoyen.no/","","ingen e-post funnet"
"Tannlegene Lande/Tjessheim","Haugesund","52 72 24 87","","","ingen nettside"
"Storbyen Senter","Sarpsborg","69 12 07 13","https://www.storbyen.no/","vekter.storbyen@avarnsecurity.com","ok"
"Tannlegekontoret Fides AS","Haugesund","52 71 20 18","","","ingen nettside"
"Sarpsborg Dental AS","Sarpsborg","69 15 67 88","http://sarpsborgdental.no/","sarpsborgdental@yahoo.no","ok"
"Tannlegevakten Haugesund","Haugesund","90 12 96 00","","","ingen nettside"
"Anna Benedicte Pugerud Tannlege","Haugesund","52 01 08 65","","","ingen nettside"
"Tannlege Fjære AS","Haugesund","52 72 34 27","","","ingen nettside"
"Tannlege Siv Storesund","Haugesund","52 01 08 61","","","ingen nettside"
"Perio Tannklinikk AS","Sandefjord","33 46 22 11","https://perioklinikken.com/","post@perioklinikken.com","ok"
"Haugesund","Haugesund","","","","ingen nettside"
"Signe Tannlege Storesund","Haugesund","52 01 08 80","","","ingen nettside"
"Bjarne Housken","Haugesund","52 71 10 00","http://tannsenteret.no/","","ingen e-post funnet"
"Tannlege Glenn Slette","Sarpsborg","69 87 74 44","https://tannlegeglennslette.no/","tannlege.glennslette@live.no","ok"
"Victoriahjørnet","Haugesund","","","","ingen nettside"
"Gunnar Tannlege Amundsen","Haugesund","52 72 19 60","","","ingen nettside"
"Tannlege Karin Holmgard AS","Haugesund","52 71 11 00","","","ingen nettside"
"Medico tannlege Guido Stüttgen","Haugesund","52 82 22 22","","","ingen nettside"
"Tannlege Førland AS","Haugesund","52 71 39 24","","","ingen nettside"
"Øyvind Ketil Haga","Haugesund","52 73 64 57","","","ingen nettside"
"Raili Randmer Olsen","Haugesund","52 72 38 43","","","ingen nettside"
"Tannlege Arnstein Arvesen Mntf","Haugesund","","","","ingen nettside"
"Tannlege Jouko Rytilahti","Haugesund","52 01 08 63","","","ingen nettside"
"Tom Tannlege Trippestad","Haugesund","52 72 19 60","","","ingen nettside"
"Hekla Tannregulering AS","Haugesund","52 85 11 03","","","ingen nettside"
"Arne Bastholm","Haugesund","52 71 33 95","","","ingen nettside"
"Tannlege Vee i Haugesund","Haugesund","52 71 31 80","http://www.tannlegenevee.no/","klinikk@tannhelsehuset.no","ok"
"Kongensgate Tannklinikk AS","Sandefjord","33 46 22 45","http://kongensgate-tannklinikk.no/","post@tannklinikken-mk.no","ok"
"24/7-bygget","Haugesund","","","","ingen nettside"
"Kjeveortoped","Haugesund","","","","ingen nettside"
"Svend Andreas Aasland","Haugesund","52 71 20 18","","","ingen nettside"
"Sandefjord Tannregulering AS","Sandefjord","33 46 34 40","http://www.sandefjordtannregulering.no/Kontakt/","post@sandefjordtannregulering.no","ok"
"Aksdal Tannklinikk AS","Haugesund","52 77 57 00","https://www.facebook.com/Aksdal-Tannklinikk-485675821575617/timeline/","","ingen e-post funnet"
"Tannlege Sigmund Alsos","Haugesund","52 72 30 71","https://www.tannlegealsos.no/","alsos@tannlegealsos.no","ok"
"Klinikk 3 Tannleger","Haugesund","52 01 08 60","https://www.k3t.no/","haugesund@orisdental.no","ok"
"Eik tannlegesenter","Tønsberg","33 31 16 68","https://eiktannlegesenter.no/","post@eiktannlegesenter.no","ok"
"Tannlege Marthe Angelsen","Sandefjord","33 44 60 30","https://www.1881.no/tannlege/tannlege-vestfold/tannlege-sandefjord/tannlege-marthe-angelsen_107284161S10/","post@tannklinikken.no","ok (2. pass)"
"Tønsberg Tannclinique","Tønsberg","33 36 77 76","https://ttq.no/","post@ttq.no","ok"
"Tannlege Aslak Kringlegarden","Tønsberg","33 31 11 82","","","ingen nettside"
"Tannlege Rune Esbjørnsen","Tønsberg","33 31 41 95","","","ingen nettside"
"Ditt Smil Tannhelse","Tønsberg","33 31 13 90","http://dittsmiltannhelse.no/","htntann@gmail.com","ok"
"Tannlege Einar Trægde Nørstebø AS","Tønsberg","33 37 98 04","","","ingen nettside"
"Tønsberg Tannlegevakt","Tønsberg","40 61 12 12","https://tonsbergtannlegevakt.no/","post@tonsbergtannlegevakt.no","ok"
"Tannlegene Otterstad","Skien","35 93 03 60","http://tannlegeneotterstad.no/","","ingen e-post funnet"
"Tannlege Ellen Lier","Tønsberg","33 31 49 20","","","ingen nettside"
"Steinar Matre","Tønsberg","33 31 24 42","","","ingen nettside"
"TANNLEGE KRISTIAN AANDAHL AS","Tønsberg","33 34 46 70","","","ingen nettside"
"Gisle Sverre Prøsch Tannlege","Tønsberg","33 37 98 03","","","ingen nettside"
"Bjørn J Hansen AS","Tønsberg","33 31 22 36","http://www.kjevekirurgen.no/","bjhan3@online.no","ok"
"Ranveig Roberg","Tønsberg","33 32 84 50","","","ingen nettside"
"Tannlege Hopen & Co AS","Tønsberg","33 31 12 98","http://tannlegehopen.no/","post@tannlegehopen.no","ok"
"Tannlege Main Lisbeth Teien Dale","Tønsberg","33 31 54 70","","","ingen nettside"
"Olav Eide","Tønsberg","33 37 82 82","","","ingen nettside"
"Dentatec Dental AS","Tønsberg","47 63 81 12","","","ingen nettside"
"Sigurd Sondresen","Tønsberg","33 31 31 03","","","ingen nettside"
"Ole M Kulbraaten AS","Tønsberg","33 37 82 82","","","ingen nettside"
"Eivind Andersen","Tønsberg","33 37 82 82","","","ingen nettside"
"Tannlege Hai Hoang Nguyen","Moss","69 25 43 55","","","ingen nettside"
"Tanngården Haugesund AS","Haugesund","52 72 41 97","http://tanngården.no/","","ingen e-post funnet"
"Tannlege Atle Trondsen","Moss","69 25 26 05","https://tannlegetrondsen.no/","","ingen e-post funnet"
"Tannlege Olav Johansen","Moss","69 24 94 45","","","ingen nettside"
"Frisk Tannhelse avd. Tønsberg sentrum","Tønsberg","33 32 84 50","https://www.frisktannhelse.no/","","ingen e-post funnet"
"Tønsberg Tannregulering AS","Tønsberg","33 31 55 66","http://tonsbergtannregulering.no/","tonsbergtannregulering@gmail.com","ok"
"Tom Roger Arctander","Porsgrunn","35 55 33 39","","","ingen nettside"
"Zeyad Abdul-Hamid","Porsgrunn","94 48 96 16","","","ingen nettside"
"Tannlege Thomas Arentz","Tønsberg","33 31 31 90","https://tannlegearentz.no/","tonsberg@colosseum.no","ok"
"Bjørn Hobæk","Porsgrunn","35 51 39 20","","","ingen nettside"
"Tannlege MNTF Magne Granmar","Porsgrunn","35 55 67 40","","","ingen nettside"
"Haugesund Medisinske Senter","Haugesund","52 70 39 00","http://www.haugesundmedisinske.no/","hmskiropraktikk@gmail.com","ok (2. pass)"
"Haugesund Tannmedisin","Haugesund","52 72 12 40","https://www.tannmed.no/","post@tannmed.no","ok"
"Tannlege Anne Bugge-Paulsen","Porsgrunn","35 55 79 69","","","ingen nettside"
"Tannlegene Schriwer og Thorkildsen","Porsgrunn","35 55 22 50","","","ingen nettside"
"Gap Opp AS","Porsgrunn","35 55 22 16","","","ingen nettside"
"Tannlegene i Teiegården","Tønsberg","33 30 48 70","http://norveel.no/","post@norveel.no","ok"
"Tannlege Jon-Audun Solem","Moss","69 20 54 10","https://solemogtrondsen.no/om-oss/","moss@colosseum.no","ok"
"Tannlege Anas Alhaydar","Porsgrunn","","","","ingen nettside"
"Dento AS","Porsgrunn","35 55 54 00","","","ingen nettside"
"Tannlege Morten Wesseltoft","Porsgrunn","35 55 22 16","","","ingen nettside"
"Tommy Lønhøiden","Tønsberg","33 31 11 90","https://ovregate.no/ansatte/","","ingen e-post funnet"
"Tannlege Schriwer AS","Porsgrunn","35 55 22 50","","","ingen nettside"
"Skein","Porsgrunn","","","","ingen nettside"
"Knut Sven Tubaas Tannlegen","Porsgrunn","35 55 22 06","","","ingen nettside"
"Tannlege Even Eie Bjørvik AS","Porsgrunn","91 69 81 56","","","ingen nettside"
"Olav Strand","Porsgrunn","","","","ingen nettside"
"Tannlege Augestad","Porsgrunn","35 56 64 00","http://www.tannlegeaugestad.no/","","ingen e-post funnet"
"Skomvær Dental AS","Porsgrunn","35 55 62 40","","","ingen nettside"
"Jan Johansen","Porsgrunn","94 15 10 80","","","ingen nettside"
"Lillegaard Tannklinikk","Bodø","75 52 22 33","","","ingen nettside"
"Tannlege Morten Aanonsen","Moss","69 25 37 04","https://www.tannlege-aanonsen.no/","","ingen e-post funnet"
"Tannlege Ragnhild Olsen AS","Porsgrunn","47 13 21 32","http://www.tannlegero.no/","post@tannlegero.no","ok"
"Tannlege Moen","Bodø","75 50 65 10","","","ingen nettside"
"Tannlege Rune Normann","Bodø","75 52 00 11","","","ingen nettside"
"Tannlege Thor Arne Sandjord","Bodø","75 50 64 40","","","ingen nettside"
"THORKILDSEN ØDEGÅRD AS","Porsgrunn","45 83 16 10","http://tannlegeoedegard.no/","ahtoedeg@gmail.com","ok"
"Tannlege Sigmund Olaf Kristiansen Kjeveortopedi AS","Bodø","75 52 48 98","","","ingen nettside"
"Salten Tannhelsedistrikt","Bodø","75 65 19 41","","","ingen nettside"
"Bodø kretsfengsel Biklinikk","Bodø","75 55 94 36","","","ingen nettside"
"Gruben Tannklinikk","Bodø","","","","ingen nettside"
"Tanntekniker","Bodø","","","","ingen nettside"
"Tannlegene Solveig Lyngtveit Lindland og Elise Lyngtveit Lindland Møller","Arendal","37 02 30 11","","","ingen nettside"
"Tannlege Mette Hofstad","Arendal","37 02 55 22","","","ingen nettside"
"Tannlege Guri Sandnes","Porsgrunn","35 55 17 03","https://www.helsesmart.no/klinikk/tannlege-guri-sandnes-8211/","tannlege@gurisandnes.no","ok (2. pass)"
"Tannlege Cecilie Borg Heyerdahl","Porsgrunn","91 91 80 82","https://www.tannlegececilieheyerdahl.no/","","ingen e-post funnet"
"Tannlegegården Barth AS","Bodø","93 47 20 00","http://www.tannlegegarden.no/","example@mysite.com","ok"
"Tannlege Tor Tegnander","Bodø","75 50 65 90","http://www.tanntor.no/","post@tanntor.no","ok"
"Tannlege Jørgensen Knut Eric","Arendal","37 02 55 22","","","ingen nettside"
"Tannlege Timea Barexstein","Arendal","37 02 13 03","https://tannlege-arendal.business.site/","","ingen e-post funnet"
"Preben Stenersen","Arendal","37 02 29 40","","","ingen nettside"
"Hans Tannlege Roscher AS","Arendal","37 02 28 24","","","ingen nettside"
"Toppen Tannregulering","Tønsberg","33 31 14 55","http://www.toppentannregulering.no/","","ingen e-post funnet"
"Beha Sport AS","Porsgrunn","35 55 73 03","https://behasport.no/","","ingen e-post funnet"
"Anne Grethe Beisland Tannlege","Arendal","37 02 14 00","","","ingen nettside"
"Kjeveortoped Jette Jørgensen","Arendal","37 02 22 55","","","ingen nettside"
"Tyholmen Tannlegesenter","Arendal","37 02 29 40","http://www.tyholmen-tannlegesenter.no/","tannlegene@tyholmen-tannlegesenter.no","ok"
"Pollen Dental AS","Arendal","41 63 44 95","","","ingen nettside"
"Per Kristian Lundvall","Arendal","90 60 08 66","","","ingen nettside"
"Tannlege Hvaring","Porsgrunn","35 55 54 00","http://tannlegehvaring.no/","post@tannlegehvaring.no","ok (2. pass)"
"a1smil","Arendal","","","","ingen nettside"
"Torleiv Lauvdal","Arendal","37 02 29 40","","","ingen nettside"
"Стоматолог Арендал","Arendal","","","","ingen nettside"
"a1tannlegen kirkedam as","Arendal","37 02 10 90","","","ingen nettside"
"Jettebra","Arendal","","","","ingen nettside"
"Per Lauvdal","Arendal","37 31 06 98","","","ingen nettside"
"Obe AS","Arendal","37 02 14 00","","","ingen nettside"
"Tannlege Jon Egil T. Fiane","Arendal","37 02 48 45","https://tannlegefiane.no/","post@tannlegefiane.no","ok"
"Tannlege Synnøve Anette Terjesen AS","Arendal","37 02 13 03","https://www.tannlegeterjesen.no/","tannlegeterjesen@gmail.com","ok"
"Tannlege Marie Eng","Hamar","62 52 44 44","https://www.tannlegeneitorggata3.no/","post@tannlegerosbak.no","ok"
"Innlandet Hamar Tannlegevakt Dhaliwal (tidligere Mjøsa Tannklinikk)","Hamar","62 11 80 00","https://mjøsatannklinikk.no/","post@mjosatannklinikk.no","ok"
"Tannlege Svendsen","Porsgrunn","35 55 08 00","http://tannlege-svendsen.no/","","ingen e-post funnet"
"Tannlege Kjersti Høye","Hamar","62 52 66 50","","","ingen nettside"
"Tannlege Nabeel Mekhlif AS","Hamar","62 52 70 00","","","ingen nettside"
"Tannlege Inge Lima","Hamar","62 52 58 05","","","ingen nettside"
"Tannlegene Sandnes , Kurt og Elina","Hamar","62 52 48 86","","","ingen nettside"
"Jan Tore Olsen Tannlege","Arendal","37 02 14 00","https://www.arendaltannlegesenter.no/tannlege-jan-tore-olsen/","arendal@colosseum.no","ok"
"Magnhild Olrud","Hamar","62 52 36 96","","","ingen nettside"
"Tannlege Terje Skogly","Hamar","62 52 29 04","","","ingen nettside"
"Grandsenteret","Hamar","","","","ingen nettside"
"Tannlege Eunhyun Kim","Hamar","41 22 24 41","","","ingen nettside"
"Grand Helsesenter","Hamar","","","","ingen nettside"
"Jardar Strand","Hamar","41 53 29 37","","","ingen nettside"
"Sagatun Tannlegeklinikk","Hamar","62 53 29 29","","","ingen nettside"
"Tore Orre Haaland","Hamar","62 52 26 33","","","ingen nettside"
"Tannlege Kjell Linkjendal AS","Hamar","62 52 58 05","","","ingen nettside"
"Robert Drosch","Hamar","","","","ingen nettside"
"Vangsvein 62","Hamar","","","","ingen nettside"
"BedreTenner","Hamar","40 07 80 15","","","ingen nettside"
"Peder Bronken","Hamar","62 52 24 54","","","ingen nettside"
"Hamar Sentrum","Hamar","41 41 29 80","","","ingen nettside"
"Simen Willy Johnsen","Hamar","62 52 61 05","","","ingen nettside"
"Sisle Varegg Eide","Hamar","92 22 46 52","","","ingen nettside"
"Dzenana Grabovica","Hamar","62 11 04 36","","","ingen nettside"
"Reidun Romsaas","Hamar","62 52 61 05","","","ingen nettside"
"Knut Otto Haavie","Hamar","99 26 90 68","","","ingen nettside"
"Mage-Tarm Klinikken Amfi Arena","Arendal","37 02 00 83","http://www.magetarmklinikken.no/","","ingen e-post funnet"
"Petar Ninkov","Hamar","40 21 54 32","","","ingen nettside"
"Finn Sindre Aas","Hamar","62 52 66 50","","","ingen nettside"
"Canpol AS","Hamar","96 95 10 46","","","ingen nettside"
"Arbo-Lab - din tanntekniker Hamar","Hamar","90 97 36 91","","","ingen nettside"
"Tannlegevakt Innlandet","Hamar","94 98 48 35","https://www.tannlegevaktinnlandet.no/","post@aktivtannhelse.no","ok"
"Tannlege Faruk Surbehan","Larvik","33 18 39 11","","","ingen nettside"
"Tannlegene Rustad AS","Larvik","33 18 18 71","","","ingen nettside"
"Jon Eriksen Tannlege","Larvik","33 12 54 52","","","ingen nettside"
"Tannlegene Helganes og Krukowski","Larvik","33 18 14 35","","","ingen nettside"
"Pollen Tannklinikk","Arendal","37 00 27 55","https://www.pollentannklinikk.no/","toril.storeng@broadpark.no","ok"
"Tannlege Kjetil Bakke","Larvik","33 18 15 51","","","ingen nettside"
"Tannlege Maren Risvær","Larvik","33 12 50 95","","","ingen nettside"
"Tryggestad Tannklinikk","Bodø","75 53 22 01","http://www.tryggestad-tannklinikk.no/","","ingen e-post funnet"
"Pyramiden tannlegekontor AS","Larvik","33 12 69 52","https://www.pyramiden.no/","kontakt@eksempel.no","ok"
"Larvik Tann & Kjeveklinikk","Larvik","33 18 20 18","https://m.facebook.com/larviktann/","","ingen e-post funnet"
"Petter A Lauritzsen AS Tannlege","Larvik","33 18 49 13","","","ingen nettside"
"Jan Lotherington","Larvik","33 18 29 85","","","ingen nettside"
"Reguline AS Karen A B Kristoffersen","Larvik","33 18 20 18","http://www.reguline.no/","","ingen e-post funnet"
"Jan Norberg","Larvik","33 19 73 25","","","ingen nettside"
"Boye Tannlege Nereng AS","Larvik","33 18 44 24","","","ingen nettside"
"Larvik kjedeorooedi","Larvik","","","","ingen nettside"
"Tannpleierklinikken AS","Larvik","33 18 99 59","http://www.tannpleierklinikken.no/","","ingen e-post funnet"
"Øystein Haram","Larvik","33 18 15 51","","","ingen nettside"
"Dyrendal Tannhelsesenter","Halden","69 21 10 60","","","ingen nettside"
"Tannlegene i Kvartal 48","Hamar","62 52 30 73","http://www.tannlegene48.no/","post@tannlegene48.no","ok"
"Alvenes Dental (Maria E. Alvenes)","Hamar","62 55 34 50","http://alvenesdental.no/","","ingen e-post funnet"
"Tannlege Siri Sagbakken","Halden","90 61 69 98","","","ingen nettside"
"Tannlege Elzbieta Robakowska","Halden","46 84 84 65","","","ingen nettside"
"Tore Kjell Larseng","Halden","69 18 44 42","","","ingen nettside"
"Tannlege Geir Frøyshov AS","Hamar","62 52 61 05","http://grandtannlegene.no/","hamar@odontia.no","ok"
"Dyrendal medisinske senter","Halden","","","","ingen nettside"
"Tannlege Jan Engh","Halden","69 17 90 45","","","ingen nettside"
"Einar Lorentzen","Halden","","","","ingen nettside"
"Hilde Aas","Halden","69 19 30 08","","","ingen nettside"
"Gro Aakre Granfeldt","Halden","69 18 52 11","","","ingen nettside"
"Arman Ay","Halden","","","","ingen nettside"
"Ove Fæhn AS","Halden","69 17 90 45","","","ingen nettside"
"Berg Jarle invest AS","Halden","91 17 83 60","","","ingen nettside"
"Jarle Alvin Berg","Halden","69 18 56 37","","","ingen nettside"
"Tannlege Anne Blix Werner","Arendal","37 02 65 53","http://www.anneblixwerner.no/","post@anneblixwerner.no","ok"
"Tannlege Petter Larseng","Halden","69 18 44 42","http://www.tannlegelarseng.no/","tannlege@larseng.no","ok"
"CC Hamar","Hamar","96 91 48 00","https://cc.no/hamar/","cchamar@cc.no","ok (2. pass)"
"Tannlegen på Landet AS","Larvik","33 21 01 98","http://www.tannlegenpalandet.no/","","ingen e-post funnet"
"Tannlegene i Niels Ankers gate 5","Halden","69 18 13 64","http://www.haldental.no/tafjord.htm","","ingen e-post funnet"
"Tannlege Stavern AS","Larvik","33 19 92 64","https://staverntann.no/","tannlegestavern@outlook.com","ok"
"Tannlegene Jon Myrebøe, Karen Kristoffersen og Ingvild Borgeraas","Larvik","33 18 20 18","http://kjeve.no/","","ingen e-post funnet"
"Tannregulering i Halden","Halden","69 18 59 60","https://www.tannreguleringhalden.no/","","ingen e-post funnet"
"Maxis Kjøpesenter","Arendal","37 02 72 41","http://www.maxis.no/","","ingen e-post funnet"
